transaction_id,hour_of_day,distance_from_home_km,distance_from_last_txn_km,card_present,amount,merchant_category,is_fraud
TXN100000,23,0.62,3.49,1,34.66,gas_station,0
TXN100001,8,6.44,2.62,1,42.88,grocery,0
TXN100002,10,2.44,0.52,0,29.42,online_retail,0
TXN100003,17,1.88,0.02,1,3.35,pharmacy,0
TXN100004,13,2.82,3.27,1,21.86,grocery,0
TXN100005,11,6.83,3.33,1,94.91,gas_station,0
TXN100006,13,8.52,9.23,1,14.25,grocery,0
TXN100007,2,4.8,2.56,0,159.64,travel,0
TXN100008,13,3.18,2.58,1,47.59,gas_station,0
TXN100009,17,4.52,2.57,0,63.89,electronics,0
TXN100010,2,8.92,2.37,1,96.56,restaurant,0
TXN100011,11,1.08,4.06,0,64.26,gas_station,0
TXN100012,10,5.43,0.66,1,54.04,restaurant,0
TXN100013,16,3.79,22.73,1,43.64,grocery,0
TXN100014,17,0.1,1.26,1,76.37,restaurant,0
TXN100015,12,1.17,1.37,0,80.56,gas_station,0
TXN100016,6,2.82,2.31,1,32.14,online_retail,0
TXN100017,9,2.82,20.67,1,80.97,grocery,0
TXN100018,16,7.48,5.17,1,32.85,gas_station,0
TXN100019,5,11.24,20.11,1,476.51,entertainment,1
TXN100020,5,18.99,0.75,0,53.64,gas_station,0
TXN100021,17,11.13,2.12,1,71.08,restaurant,0
TXN100022,22,19.93,3.59,0,33.79,travel,0
TXN100023,6,5.77,0.66,1,91.92,restaurant,0
TXN100024,18,17.74,2.4,0,14.25,grocery,0
TXN100025,15,7.09,0.14,0,20.93,grocery,0
TXN100026,15,12.0,8.96,0,9.9,restaurant,0
TXN100027,12,21.26,0.37,1,197.78,grocery,0
TXN100028,13,9.38,9.02,1,139.1,grocery,0
TXN100029,13,10.19,3.32,1,80.49,restaurant,0
TXN100030,9,5.16,7.97,1,37.45,gas_station,0
TXN100031,16,3.86,1.37,1,49.63,online_retail,0
TXN100032,21,14.04,0.23,1,7.01,grocery,0
TXN100033,12,3.1,0.14,0,210.82,online_retail,0
TXN100034,16,4.18,5.92,1,49.7,gas_station,0
TXN100035,15,1.0,4.03,1,25.16,grocery,0
TXN100036,23,22.0,0.24,1,77.64,restaurant,0
TXN100037,10,3.42,19.31,1,211.63,entertainment,0
TXN100038,13,16.08,1.7,1,66.3,restaurant,0
TXN100039,14,14.99,2.52,1,140.59,electronics,0
TXN100040,11,9.21,6.53,0,50.81,restaurant,0
TXN100041,15,5.02,3.21,0,73.87,gas_station,0
TXN100042,16,21.53,0.32,1,140.13,grocery,0
TXN100043,5,0.56,1.08,1,29.57,grocery,0
TXN100044,19,6.63,1.0,1,65.83,online_retail,0
TXN100045,18,4.88,0.02,1,90.39,gas_station,0
TXN100046,13,0.18,2.17,1,16.24,restaurant,0
TXN100047,18,1.45,8.58,0,21.53,electronics,0
TXN100048,3,2.79,0.65,1,70.31,electronics,0
TXN100049,11,0.34,4.83,1,87.02,online_retail,0
TXN100050,13,3.8,0.77,1,30.96,grocery,0
TXN100051,5,15.28,2.28,1,109.98,restaurant,0
TXN100052,11,16.88,0.91,0,54.61,restaurant,0
TXN100053,17,0.63,4.48,1,67.06,online_retail,0
TXN100054,11,4.55,8.56,0,62.35,grocery,0
TXN100055,23,5.3,2.97,1,18.85,electronics,0
TXN100056,18,36.85,11.9,1,35.83,online_retail,0
TXN100057,15,20.14,2.24,0,19.86,restaurant,0
TXN100058,10,46.9,4.2,1,90.57,grocery,0
TXN100059,7,6.16,4.71,1,105.3,grocery,0
TXN100060,11,5.05,0.14,1,78.31,grocery,0
TXN100061,14,4.79,3.45,1,85.89,online_retail,0
TXN100062,21,7.04,13.37,1,14.38,grocery,0
TXN100063,8,7.79,8.68,1,25.01,online_retail,0
TXN100064,8,14.76,0.43,1,255.67,gas_station,0
TXN100065,14,28.67,3.46,1,48.65,grocery,0
TXN100066,12,5.01,5.14,1,33.72,online_retail,0
TXN100067,16,12.77,0.63,1,105.52,restaurant,0
TXN100068,9,7.16,3.2,1,42.41,online_retail,0
TXN100069,11,6.69,4.39,1,192.47,pharmacy,0
TXN100070,16,1.4,3.28,1,22.57,restaurant,0
TXN100071,10,9.08,1.31,1,74.96,gas_station,0
TXN100072,3,5.99,6.63,0,82.96,online_retail,0
TXN100073,9,9.06,0.12,1,87.63,entertainment,0
